asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
^IXIC,index,2026-02-23 09:30:00,22840.97,22893.22,22828.87,22863.24,179533364.0,2 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-24 09:30:00,22637.75,22641.97,22552.26,22574.02,184176811.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-25 09:30:00,23005.01,23045.17,23004.69,23019.61,191730503.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-26 09:30:00,23100.58,23109.46,23032.65,23043.41,208527375.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-02-27 09:30:00,22615.43,22641.37,22567.64,22620.58,196419196.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-02 09:30:00,22315.24,22517.85,22309.16,22509.1,178819267.0,2 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-03 09:30:00,22295.1,22352.33,22283.23,22283.23,195223274.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-04 09:30:00,22619.65,22692.2,22619.65,22682.87,200057939.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-05 09:30:00,22703.71,22762.28,22692.67,22762.28,282798000.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-06 09:30:00,22421.17,22453.63,22403.95,22435.02,173558204.0,0 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-09 09:30:00,22184.05,22234.64,22181.51,22212.17,185805536.0,2 days 17:35:00,1,0,0,0
^IXIC,index,2026-03-10 09:30:00,22722.94,22763.49,22706.5,22713.59,147462358.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-15 09:30:00,25352.87,25377.62,25297.57,25297.57,31985762.0,2 days 17:35:00,1,0,0,0
^NDX,index,2025-12-16 09:30:00,24991.49,25052.4,24991.49,25025.36,24276994.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-17 09:30:00,25173.18,25189.84,25149.68,25151.84,29526148.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-18 09:30:00,25025.62,25079.06,25025.62,25028.63,33795803.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-19 09:30:00,25147.3,25225.12,25134.26,25211.82,65862475.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-22 09:30:00,25530.25,25551.48,25464.49,25473.51,33029743.0,2 days 17:35:00,1,0,0,0
^NDX,index,2025-12-23 09:30:00,25441.42,25499.81,25435.06,25479.83,21570588.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-24 09:30:00,25582.34,25593.84,25556.85,25593.46,17030349.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-26 09:30:00,25692.68,25695.1,25654.23,25689.3,16988699.0,1 days 20:35:00,1,0,0,0
^NDX,index,2025-12-29 09:30:00,25462.25,25506.91,25447.99,25503.06,22343183.0,2 days 17:35:00,1,0,0,0
^NDX,index,2025-12-30 09:30:00,25510.68,25524.22,25497.76,25512.45,16283906.0,0 days 17:35:00,1,0,0,0
^NDX,index,2025-12-31 09:30:00,25464.71,25483.77,25447.01,25458.81,16165299.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-02 09:30:00,25526.39,25544.1,25467.98,25487.32,34548161.0,1 days 17:35:00,1,0,0,0
^NDX,index,2026-01-05 09:30:00,25471.79,25474.23,25399.58,25407.67,36834960.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-01-06 09:30:00,25462.06,25493.91,25460.91,25467.71,64112116.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-07 09:30:00,25617.8,25644.16,25592.4,25644.16,33462440.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-08 09:30:00,25608.26,25608.66,25524.42,25532.4,30212811.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-09 09:30:00,25518.82,25531.43,25489.55,25519.17,29251750.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-12 09:30:00,25609.28,25691.76,25609.28,25691.76,70524407.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-01-13 09:30:00,25779.28,25814.24,25766.95,25812.03,36717800.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-14 09:30:00,25575.57,25621.53,25509.3,25617.79,79846508.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-15 09:30:00,25767.3,25768.6,25722.03,25725.53,40955213.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-16 09:30:00,25710.6,25735.48,25683.28,25707.15,48703824.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-20 09:30:00,25165.74,25190.77,25101.94,25190.62,36555268.0,3 days 17:35:00,1,0,0,0
^NDX,index,2026-01-21 09:30:00,25048.55,25080.33,25018.23,25027.47,52251081.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-22 09:30:00,25548.38,25562.25,25525.68,25527.37,39225008.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-23 09:30:00,25501.91,25524.72,25457.62,25460.46,50640008.0,0 days 17:35:00,1,0,0,0
